frame,x_26,x_28,y_26,y_28,distance,time_seconds,X,Y,ángulo_26_28,velocidad_angular,aceleracion_angular,velocidad,aceleracion,delta_t,error_total_px_28,error_total_px_26,error_tibia_px,error_tibia,error_total_tibia_px,error_X,error_Y,error_ángulo_26_28,ángulo_26_28_error_positivo,ángulo_26_28_error_negativo,error_velocidad_angular,error_aceleracion_angular,velocidad_angular_error_positivo,velocidad_angular_error_negativo,error_ángulo,error_tiempo,aceleracion_angular_error_positivo,aceleracion_angular_error_negativo,error_aceleración,error_velocidad,error_aceleracion
0,298,298,255,382,127.0,0.0,0,127,0.013880314482499639,,,,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03340661958361642,0.04728693406611606,-0.01952630510111678,,,,,0.03340661958361642,0.02,,,,,
1,295,295,257,382,125.0,0.0166761904761904,0,125,0.014072702019849333,0.01153665986391664,,0.0144208248298958,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03394112549695428,0.04801382751680361,-0.019868423477104945,0.33941670745037394,,0.6903700747646645,-0.6672967550368313,0.03394112549695428,0.02,,,,0.4242712764399794,
2,295,295,259,381,122.0,0.0333523809523809,0,122,0.014453089361321354,0.022810206084844128,,0.027828451423509835,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03477574333704332,0.04922883269836467,-0.020322653975721968,0.3477782366930779,0.8699022745463347,0.7183666794709999,-0.6727462673013117,0.03477574333704332,0.02,,,17.398045490926695,0.42429098163587287,1.0626342494264767
3,295,295,260,381,121.0,0.0500285714285714,0,121,0.01501282627261321,0.03356503465770691,,0.04061369193582536,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.035063146174539546,0.050075972447152756,-0.020050319901926336,0.35067613620932203,0.877102541198614,0.734917307076351,-0.6677872377609372,0.035063146174539546,0.02,,,17.54205082397228,0.42432144368855185,1.062852990937567
4,295,295,260,381,121.0,0.0667047619047619,0,121,0.015739353651571013,0.043566747453209174,,0.0527157644183831,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.035063146174539546,0.050802499826110556,-0.019323792522968532,0.3507067238718845,0.8771232824829771,0.7449801951969782,-0.6578467002905598,0.035063146174539546,0.02,,,17.54246564965954,0.4243607268653276,1.0631394901172855
5,295,295,260,381,121.0,0.0833809523809523,0,121,0.016616380612221905,0.05259156531601602,,0.06363579403237939,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.035063146174539546,0.05167952678676145,-0.01844676556231764,0.3507411290320592,0.8771430432522836,0.7540738233801344,-0.6488906927481023,0.035063146174539546,0.02,,,17.54286086504567,0.4244049125333403,1.0634574804436636
6,295,295,260,381,121.0,0.1000571428571428,0,121,0.01762432739777064,0.06044226869367058,,0.0731351451193414,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.035063146174539546,0.052687473572310184,-0.017438818776768904,0.3507763071217361,0.8771603729559893,0.7619948829371427,-0.6411103455498016,0.035063146174539546,0.02,,,17.543207459119785,0.42445009057997973,1.063779195054151
7,296,295,260,381,121.00413216084812,0.1167333333333333,1,121,0.018741115326527617,0.06696900772100642,,0.08103526660953518,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03506194880584439,0.053803064132372,-0.01632083347931677,0.3507973017771759,0.877145032393724,0.7685636112753582,-0.6346255958333453,0.03506194880584439,0.02,,,17.54290064787448,0.4244924373660452,1.0640787341063953
8,296,295,260,381,121.00413216084812,0.1334095238095238,1,121,0.019942690909998652,0.07205336165874268,,0.08718754496787885,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03506194880584439,0.05500463971584304,-0.015119257895845735,0.35082531806391143,0.8771553968995773,0.7737039977865655,-0.6295972744690802,0.03506194880584439,0.02,,,17.543107937991547,0.42452841842853634,1.0643308758018961
9,296,294,260,381,121.01652779682615,0.1500857142857143,2,121,0.021203738938622173,0.07561967047713858,,0.09151229954283474,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03505835743562421,0.05626209637424638,-0.013854618497002036,0.35081030033544947,0.8770710681724874,0.7772402711480375,-0.6260009301937604,0.03505835743562421,0.02,,,17.541421363449746,0.42455528120189323,1.064516092379895
