frame,x_26,x_28,y_26,y_28,distance,time_seconds,X,Y,ángulo_26_28,velocidad_angular,aceleracion_angular,velocidad,aceleracion,delta_t,error_total_px_28,error_total_px_26,error_tibia_px,error_tibia,error_total_tibia_px,error_X,error_Y,error_ángulo_26_28,error_ángulo,error_tiempo,error_velocidad_angular,velocidad_angular_error_positivo,velocidad_angular_error_negativo,error_aceleracion_angular,aceleracion_angular_error_positivo,aceleracion_angular_error_negativo,ángulo_26_28_error_positivo,ángulo_26_28_error_negativo,error_velocidad,error_aceleracion,energia_cinetica,altura_cm,energia_potencial,energia_mecanica,variacion_energia_mecanica,trabajo_calorico
0,298,298,255,382,127.0,0.0,0,127,0.0138803144824996,,,,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0334066195836164,0.0334066195836164,0.02,,,,,,,0.047286934066116,-0.0195263051011167,,,,0.005551947513061553,0.8169690765470076,,,
1,295,295,257,382,125.0,0.0166761904761904,0,125,0.0140727020198493,0.0115366598639166,,0.0144208248298958,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0339411254969542,0.0339411254969542,0.02,0.3394167074503739,0.6903700747646645,-0.6672967550368313,,,,0.0480138275168036,-0.0198684234771049,0.4242712764399794,,5.323780832628168e-05,0.005628895011701729,0.8282919009719094,0.8283451387802357,,
2,295,295,259,381,122.0,0.0333523809523809,0,122,0.0144530893613213,0.0228102060848441,,0.0278284514235098,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347757433370433,0.0347757433370433,0.02,0.3477782366930779,0.7183666794709999,-0.6727462673013117,0.8699022745463347,,,0.0492288326983646,-0.0203226539757219,0.4242909816358728,1.0626342494264769,0.00020812220065322354,0.005781034471181558,0.8506792224343663,0.8508873446350196,0.022542205854783837,0.022542205854783837
3,295,295,260,381,121.0,0.0500285714285714,0,121,0.0150128262726132,0.0335650346577069,,0.0406136919358253,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0350631461745395,0.0350631461745395,0.02,0.350676136209322,0.734917307076351,-0.6677872377609372,0.877102541198614,,,0.0500759724471527,-0.0200503199019263,0.4243214436885518,1.062852990937567,0.00045064462062922633,0.006004904933911408,0.8836217610250637,0.884072405645693,0.03318506101067342,0.03318506101067342
4,295,295,260,381,121.0,0.0667047619047619,0,121,0.015739353651571,0.0435667474532091,,0.0527157644183831,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0350631461745395,0.0350631461745395,0.02,0.3507067238718845,0.7449801951969782,-0.6578467002905598,0.8771232824829771,,,0.0508024998261105,-0.0193237925229685,0.4243607268653276,1.0631394901172857,0.0007592245934606807,0.006295481526058071,0.9263801065594451,0.9271393311529058,0.043066925507212805,0.043066925507212805
5,295,295,260,381,121.0,0.0833809523809523,0,121,0.0166163806122219,0.052591565316016,,0.0636357940323793,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0350631461745395,0.0350631461745395,0.02,0.3507411290320592,0.7540738233801344,-0.6488906927481023,0.8771430432522836,,,0.0516795267867614,-0.0184467655623176,0.4244049125333403,1.0634574804436636,0.0011063490969555109,0.0066462463923850496,0.9779951566394601,0.9791015057364156,0.051962174583509824,0.051962174583509824
6,295,295,260,381,121.0,0.1000571428571428,0,121,0.0176243273977706,0.0604422686936705,,0.0731351451193414,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0350631461745395,0.0350631461745395,0.02,0.3507763071217361,0.7619948829371427,-0.6411103455498016,0.8771603729559893,,,0.0526874735723101,-0.0174388187767689,0.4244500905799797,1.063779195054151,0.0014613071379351449,0.007049366003827897,1.037314207463275,1.0387755146012103,0.05967400886479468,0.05967400886479468
7,296,295,260,381,121.00413216084812,0.1167333333333333,1,121,0.0187411153265276,0.0669690077210064,,0.0810352666095351,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0350619488058443,0.0350619488058443,0.02,0.3507973017771759,0.7685636112753582,-0.6346255958333453,0.877145032393724,,,0.053803064132372,-0.0163208334793167,0.4244924373660452,1.0640787341063953,0.0017939391980544867,0.007496007309600088,1.1030374756076529,1.1048314148057075,0.06605590020449714,0.06605590020449714
8,296,295,260,381,121.00413216084812,0.1334095238095238,1,121,0.0199426909099986,0.0720533616587426,,0.0871875449678788,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0350619488058443,0.0350619488058443,0.02,0.3508253180639114,0.7737039977865655,-0.6295972744690802,0.8771553968995773,,,0.055004639715843,-0.0151192578958457,0.4245284184285363,1.064330875801896,0.0020766747705302235,0.007976547612783144,1.1737489812210398,1.17582565599157,0.07099424118586262,0.07099424118586262
9,296,294,260,381,121.01652779682615,0.1500857142857143,2,121,0.0212037389386221,0.0756196704771385,,0.0915122995428347,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0350583574356242,0.0350583574356242,0.02,0.3508103003354494,0.7772402711480375,-0.6260009301937604,0.8770710681724874,,,0.0562620963742463,-0.013854618497002,0.4245552812018932,1.064516092379895,0.002287333825228405,0.00848086004505736,1.2479585556301906,1.2502458894554191,0.07442023346384907,0.07442023346384907
